,r_M,r,delta_d_M,delta_d
0,0.4572,0.4574,0.1812,0.1094
1,0.1541,0.1528,0.1273,0.0648
2,-0.1032,-0.1026,-0.036,-0.014
3,0.045,0.0442,0.0372,0.0187
4,0.0806,0.0825,0.0154,0.0092
5,0.0653,0.0672,-0.001,-0.0073
