,AR1,r_lag_only,ARMAX11_r_lag
Constant,0.0749,0.1009,0.0584
SE(Constant),0.0154,0.0147,0.0116
AR(1),-0.2739,,0.3973
SE(AR(1)),0.1096,,0.192
MA(1),,,-0.4241
SE(MA(1)),,,0.2285
r_{t-1},,-0.4081,-0.4163
SE(r_{t-1}),,0.0765,0.1005
R2,0.075,0.2698,0.3006
Adj. R2,0.063,0.2604,0.2726
